类别,序号,模板原图,封面图,标签文案（英文）,主标题（英文）,副标题（英文）,hot,new,文案1,文案2,文案3,文案4,文案5
I,-115,female_Spanish_daily11,cover_female_Spanish_daily11,daily,Toca el loro para ver qué animal espiritual te protege.,Cada alma tiene un guía…,0,1,,,,,
V,-111,female_Spanish_daily12,cover_female_Spanish_daily12,daily,Toca el agua en el desierto. ¿Qué recibirás?,"Incluso en los momentos más secos, una sola gota puede transformar tu vida.",0,1,,,,,
C,-110,female_Spanish_daily13,cover_female_Spanish_daily13,entertainment,Hechizad@ por un mago de los Andes. ¿Te atreves a mirar?,"La maldición revela verdades sobre tu vida, ¿estás list@ para enfrentarlas?",0,1,,,,,
K,-110,female_Spanish_daily14,cover_female_Spanish_daily14,love,¿Qué vino combina con tu vida amorosa?,Descubre el sabor de tu corazón.,0,1,,,,,
V,-110,female_Spanish_daily15,cover_female_Spanish_daily15,daily,Toca el mensaje en una botella para ver qué te trae el océano.,¿Qué sabiduría o bendiciones llegan a ti hoy?,0,1,,,,,
B,-110,female_Spanish_daily16,cover_female_Spanish_daily16,love,¡Qué calor!🥵Toca el corazón para revelar quién te gusta.,¿Qué tipo de persona te amará?,0,1,,,,,
L,-99,male_test_interactive16,cover_male_test_interactive16,nostalgic,Touch the picture to test your double life.,Slide the button to see your dual personality.,0,1,,,,,
L,-98,male_test_interactive17,cover_male_test_interactive17,story,Come test your double life,Keep tapping to reveal your other side.,0,1,,,,,
N,-97,male_test_interactive19,cover_male_test_interactive19,health,The cat can help test how healthy you are.,Complete the connections for your schedule.,0,1,"0 Points: A true medical miracle.||||You didn’t get up this morning, because you never went to sleep.",1 Point: Your bloodstream is probably 80% coffee.||||The only workout you do is walking to get your delivery.,"2 Points: You survive purely on willpower.||||Every health article roasts you, yet somehow, you’re still alive.","3 Points: You’re basically a wellness deity sipping herbal tea at sunrise.||||Sometimes healthy, sometimes crashing, like Windows 98 during an update.",4 Points: You’re a god soaking goji berries in a thermos.||||Even your doctor would give you a standing ovation.
Y,-98,male_test_interactive18,cover_male_test_interactive18,entertainment,Hurry up and find your mom!,"Connect the tadpole with its ‘mom,’ LOL😂",0,1,Scan data shows you are not of my world. Stop claiming random individuals as your mother.,Woof woof woof! Not every living thing you see is your mother!,"Do you like my new look? Say something nice, and I'll be your mother!","Little squirt, I'm not your mother. But if you like mud and stinky smells too, we can be friends!","Although I am mysterious, noble, and strong, I apologize, but I am not your mother."
A2,-112,male_test_daily155,cover_male_test_daily155,humor,If you were a banana floating in space,Which planet would you say hi to?,0,1,"Saturn:Bro, can your rings be used as a slide? I wanna try a spin.","Wait, don’t get too close, I’m about to become a crispy banana!","You’re so boring, I’ll just drift by myself. Bye~","You’re way too bright, making me look all gloomy",…What are you doing?! — (signal lost)
Z,-119,male_test_daily156,cover_male_test_daily156,humor,You suddenly turn into a penguin while showering！,What's your first reaction?,0,1,Ah? I have feathers now? Don’t slip!,"Showering is also ice-skating? Heck, I’m winning!",Wait…can I sing the Penguin National Anthem? Let’s try.,"Okay, first let me dry off with my flippers.",Oh no…turns out I’ve always been a penguin.
Z,-117,male_test_daily157,cover_male_test_daily157,humor,"In a Cat Kingdom job interview, which part would you fail?",The Cat HR is watching.,0,1,"Self-introduction: Sneezed while playing with yarn, total fail.",Skills demonstration: Tried to grab fish snacks but knocked over the plate.,"Answering questions: Too nervous, tripped over own tail.","Teamwork: Stepped on cat litter, chaos ensued.","Interview end: Turns out the Cat Kingdom isn’t hiring, wasted effort."
A2,-117,male_test_daily158,cover_male_test_daily158,humor,"If the Sun is late for work tomorrow, what will you do?",I already wrote its absence note!,0,1,"Tuck it back to bed — no sunlight means no work, perfect.",Fine it one million light-years for emotional damage.,Ask the moon to cover for it — classic workplace chaos.,Hold a cosmic trial: guilty of universal laziness!,"Offer it a hug, maybe it’s just burnt out… literally."
Z,-116,male_test_daily159,cover_male_test_daily159,humor,You are a tofu block suddenly given a soul.,What is the first thing you do?,0,1,Jump straight into the hotpot — go out in a blaze of glory.,Join the gym and become the first tofu with abs.,Write an autobiography: From Bean to Being: The Awakening of Tofu.,Go confront soy sauce — “You’ve been soaking me for years!”,Lie back on the plate and pretend the soul thing never happened.
A1,-115,male_test_daily160,cover_male_test_daily160,humor,"If your salary was paid in emojis, how much would you earn this month?",Is 'meme fighting' better than working?,0,1,One “doge for survival” meme = three packs of spicy sticks before tax.,Mostly living on forwarded memes — monthly income: one iced Americano.,"Meme creator tycoon — financially free, socially bankrupt.",Occasional “I’m emo” bonuses keep me afloat.,Wrong account — got paid entirely in “cute text” stickers this month.
A2,-114,male_test_daily161,cover_male_test_daily161,humor,Your boss has turned into a goldfish. What do you do?,"Workplace mutation, 0.1% survival rate!",0,1,Whisper softly: “So… can I go home now?”,Take him to the market for appraisal — performance stress hits hard.,Fired him. Literally.,Build a fish tank kingdom so he can still feel superior.,"Submit a report: “Boss in stable condition, communication effective, just… bubbly.”"
A2,-113,male_test_daily162,cover_male_test_daily162,humor,You clicked on this quiz. Why?,"Never mind, fate made you do it.",0,1,"Accidental click, but fate doesn’t make mistakes.",Thought it would tell me when I can finally retire.,Heard it increases attractiveness by 3%. Worth the risk.,Meant to tap the food delivery app. Oops.,It wasn’t me — the system summoned me here.
Z,-120,male_test_daily163,cover_male_test_daily163,humor,You wake up as a jelly on a trampoline. What is your life goal?,This is probably your bounciest rebirth!,0,1,Bounce higher than the sun and shimmer mid-air like a superstar.,Go back to sleep — jellies don’t hustle.,Start the Jelly Cult and preach the gospel of wobble.,Save the world? Nah. Become an influencer in the dessert industry.,Life goal? Just… don’t splatter.
V,-111,male_test_daily164,cover_male_test_daily164,humor,"If the clouds could gossip, what would they say about you?",oo much sky-high tea!,0,1,"They’re talking to the air again... you know, the classic habit.","They desperately want to vanish daily, but the Wi-Fi signal down there is just too good.","You remember that last rainstorm we made? Apparently, their food delivery spilled right in the puddle.",I've calculated that about 60% of all earthly drama traces directly back to them.,"That one always looks calm on the surface, but mentally, they're starring in episode 47 of their own private soap opera."
Z,-110,male_test_daily165,cover_male_test_daily165,humor,If you became the 'Girl with a Pearl Earring'…,Your artistic soul would suffer social death.,0,1,Take a selfie and post: “New profile pic get #BaroqueVibesOnly”,Edit in some AirPods — debut as a classical pop icon.,"Jump out of the frame yelling, “Who’s got the Wi-Fi password?!”",Start an “Oil Painting Survivors Chat” to discuss art-world labor rights.,"Hang the pearl on a cat and say, “Art should be for everyone.”"
Z,-109,male_test_daily166,cover_male_test_daily166,humor,What kind of Mona Lisa smile do you have？,What bug is hidden behind it?,0,1,Overtime Lisa — that smile hides 99+ unread work messages.,"Socially Anxious Lisa — smiling politely, dying inside.","Gossip Lisa — calm face, mental popcorn machine.",Meme Lisa — featured in 20 different meme chats this week.,Rebel Lisa — flipped the frame and quit to travel the world.
Z,-118,male_test_daily167,cover_male_test_daily167,humor,On the big cat stage...,Which feline are you destined to be the center-stage star?,0,1,"Lead Singer Cat — mic’s on, but first… a paw cleaning break.",Dancer Cat — moves powered by chaos and instinct.,"Expression Manager Cat — dead inside, camera-ready outside.",Tech Crew Cat — unplugged the lights “for artistic purposes.”,"Philosopher Cat — motionless, deep in thought… or just asleep."
G,-107,male_test_daily168,cover_male_test_daily168,humor,What kind of meme are you?,Click to see how truly abstract you are.,0,1,You as a meme,You as a meme,You as a meme,You as a meme,You as a meme
A2,-106,male_test_daily169,cover_male_test_daily169,humor,"You are the CEO of ""Chaos Corp."" What is your very first new policy",Please speak rationally.,0,1,Mandatory nap at 3 PM — offenders get iced coffee.,Sleepwear meetings allowed — comfort equals productivity.,All reports must be sung or rapped — no exceptions.,Weekly snack desk inspection — the snacking champion gets promoted.,Institute a “Chaos Award” for the most absurd office behavior.
